OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,-15.0,0.0,0.0
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,0.0,0.0665,0.413634985685
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,0.0665,0.1555,-105.941442035*(x-0.0665)*(x-0.0665)*(x-0.0665)-65.6878445326*(x-0.0665)*(x-0.0665)+22.0966075976*(x-0.0665)+0.4136349856853485
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,0.1555,0.1955,-1861.21506453*(x-0.1555)*(x-0.1555)*(x-0.1555)+20.3110237664*(x-0.1555)*(x-0.1555)+7.88668478368*(x-0.1555)+1.7852342128753662
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,0.1955,0.243,154.124966345*(x-0.1955)*(x-0.1955)*(x-0.1955)-13.2524938551*(x-0.1955)*(x-0.1955)+0.577734375245*(x-0.1955)+2.0140814781188965
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,0.243,0.3045,-19.0398198714*(x-0.243)*(x-0.243)*(x-0.243)+3.05945958714*(x-0.243)*(x-0.243)+0.361980824957*(x-0.243)+2.0281407833099365
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,0.3045,0.369,17.4726770058*(x-0.3045)*(x-0.3045)*(x-0.3045)-0.289123481363*(x-0.3045)*(x-0.3045)+0.52225427805*(x-0.3045)+2.0575454235076904
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,0.369,0.4355,-23.9649463253*(x-0.369)*(x-0.369)*(x-0.369)+4.6130985067*(x-0.369)*(x-0.369)+0.703029462494*(x-0.369)+2.0947165489196777
shape,iterativefit,down_cferr1,4,0.0,2.5,20.0,30.0,0.4355,0.5025,-9.18940404727*(x-0.4355)*(x-0.4355)*(x-0.4355)+2.36738579059*(x-0.4355)*(x-0.4355)+0.998634612224*(x-0.4355)+2.154820680618286
